listing_url,title,stock_type,price,location,km_driven,fuel_type,transmission,reg_state,other_specs
https://www.cars24.com/buy-used-nissan-magnite-2023-cars-hyderabad-10442579171/,2023 Nissan MAGNITE,Verified Direct Seller,₹6.50 lakh,Amberpet Hyderabad Telangana,"5,581 km",Petrol,Manual,TS-10,[]
https://www.cars24.com/buy-used-mahindra-xuv500-2013-cars-hyderabad-10484476179/,2013 Mahindra XUV500,Verified Direct Seller,₹4.52 lakh,Block-D Vivekananda Nagar Hyderabad,"1,81,272 km",Diesel,Manual,AP-35,[]
https://www.cars24.com/buy-used-honda-city-2019-cars-hyderabad-10442971119/,2019 Honda City,Verified Direct Seller,₹7.19 lakh,Hyderabad Nallagandla Telangana,"36,483 km",Petrol,Manual,TS-07,[]
https://www.cars24.com/buy-used-tata-tigor-2021-cars-hyderabad-10403593100/,2021 Tata TIGOR,Verified Direct Seller,₹5.00 lakh,Kukatpally Hyderabad Telangana,"1,35,519 km",Petrol,,TS-09,['Auto']
https://www.cars24.com/buy-used-honda-amaze-2023-cars-hyderabad-10471772187/,2023 Honda Amaze,Verified Direct Seller,₹8.90 lakh,Kamlapuri Colony srinagar colony phase II Hyderabad,"6,325 km",Petrol,,TS-09,['Auto']
https://www.cars24.com/buy-used-mg-hector-plus-2020-cars-hyderabad-10423674151/,2020 MG HECTOR PLUS,Verified Direct Seller,₹11.00 lakh,Get well multi speciality hospital Get well multi speciality hospital Hyderabad,"1,01,154 km",Petrol,,TS-11,['Auto']
https://www.cars24.com/buy-used-mg-hector-2019-cars-hyderabad-10404972198/,2019 MG HECTOR,Verified Direct Seller,₹8.75 lakh,Auto Nagar Hyderabad Telangana,"1,44,930 km",Diesel,Manual,TS-07,[]
https://www.cars24.com/buy-used-hyundai-venue-2022-cars-hyderabad-10458070118/,2022 Hyundai VENUE,Verified Direct Seller,₹8.70 lakh,Manikonda Telangana India,"43,528 km",Petrol,Manual,TS-07,[]
https://www.cars24.com/buy-used-honda-city-2014-cars-hyderabad-10480570170/,2014 Honda City,Verified Direct Seller,₹4.36 lakh,Peerzadiguda Hyderabad Telangana,"99,108 km",Petrol,,TS-09,['Auto']
https://www.cars24.com/buy-used-honda-br-v-2018-cars-hyderabad-10429272117/,2018 Honda BR-V,Verified Direct Seller,₹5.65 lakh,Reddy colony Alekhya towers Hyderabad,"70,655 km",Petrol,Manual,TS-09,[]
https://www.cars24.com/buy-used-mahindra-xuv500-2016-cars-hyderabad-10405292160/,2016 Mahindra XUV500,Verified Direct Seller,₹7.50 lakh,Banjara Hills Hyderabad Telangana,"1,48,235 km",Diesel,Manual,TS-10,[]
https://www.cars24.com/buy-used-hyundai-grand-i10-2015-cars-hyderabad-10471699141/,2015 Hyundai Grand i10,Verified Direct Seller,₹3.30 lakh,East Marredpally Secunderabad Telangana,"1,91,360 km",Petrol,Manual,TS-08,[]
https://www.cars24.com/buy-used-hyundai-new-i20-2023-cars-hyderabad-10446972179/,2023 Hyundai NEW I20,Verified Direct Seller,₹7.20 lakh,Kondapur Hyderabad Telangana,"20,167 km",Petrol,Manual,,['23-BH']
https://www.cars24.com/buy-used-hyundai-venue-2022-cars-hyderabad-10407772192/,2022 Hyundai VENUE,Verified Direct Seller,₹9.44 lakh,Kompally Hyderabad Telangana,"37,163 km",Diesel,Manual,TS-08,[]
https://www.cars24.com/buy-used-tata-tiago-2024-cars-hyderabad-10490572175/,2024 Tata Tiago,Verified Direct Seller,₹6.30 lakh,Yella Reddy Guda Hyderabad Telangana,"3,534 km",Petrol,,TG-08,['Auto']
https://www.cars24.com/buy-used-hyundai-creta-2018-cars-hyderabad-10441675198/,2018 Hyundai Creta,Verified Direct Seller,₹7.50 lakh,Gudi Malkapur Road Balaji Nagar Hyderabad,"53,232 km",Petrol,Manual,TS-07,[]
https://www.cars24.com/buy-used-mg-hector-plus-2021-cars-hyderabad-10479475172/,2021 MG HECTOR PLUS,Verified Direct Seller,₹12.75 lakh,near hanuman temple Jambagh Road Wakil Wadi Jam Bagh Hyderabad,"53,182 km",Petrol,,TS-09,['Auto']
https://www.cars24.com/buy-used-tata-punch-2022-cars-hyderabad-10475173198/,2022 Tata PUNCH,Verified Direct Seller,₹6.60 lakh,Mettakanigudem Hyderabad Telangana,"41,244 km",Petrol,,TS-08,['Auto']
https://www.cars24.com/buy-used-hyundai-venue-2020-cars-hyderabad-10449172190/,2020 Hyundai VENUE,Verified Direct Seller,₹6.80 lakh,Boduppal Secunderabad Telangana,"27,687 km",Petrol,Manual,TS-08,[]
https://www.cars24.com/buy-used-honda-city-2015-cars-hyderabad-10414178190/,2015 Honda City,Verified Direct Seller,₹3.99 lakh,Brindavan colony Tolichowki Brindavan colony Tolichowki Hyderabad,"85,214 km",Petrol,Manual,TS-09,[]
